/ACsolution : case1354pegase
/Date : 08-30-2025 02:35:18 Mountain Daylight Time
/MachineName : Remi
/Processor : Intel64 Family 6 Model 158 Stepping 9, GenuineIntel
/OS : Windows 10 (Windows-10-10.0.26100-SP0)
/Cores : 4 physical cores, 8 logical processors
/RAM : 32 GB
AMPL Version 20250811 (MSVC 19.44.35213.0, 64-bit)
/Solver : Artelys Knitro 13.2.0
objvalue 74069.36341388008
voltages and angles:
bus 1 M 1.0751422958888197 A -0.146462927674215
bus 2 M 1.0621508236242034 A -0.09767458616142616
bus 3 M 1.0644710907531254 A -0.3046601712406943
bus 4 M 1.0599513696883889 A -0.2805797377484761
bus 5 M 1.0781582178895839 A -0.19376623320445596
bus 6 M 1.070765867718907 A -0.02135922087191291
bus 7 M 1.049904412848543 A -0.05248393440137258
bus 8 M 1.0713353450124161 A -0.27017395163961777
bus 9 M 1.0904020319444514 A -0.03510097972755294
bus 10 M 1.0451043009596843 A -0.02053721440512075
bus 11 M 1.0840141055727526 A -0.25553117796023816
bus 12 M 1.0820957520563381 A -0.1924600024922661
bus 13 M 1.0957653972806773 A -0.034706389558071656
bus 14 M 1.0661344899277907 A -0.07130334114107807
bus 15 M 1.0700576015631182 A -0.22001045249949044
bus 16 M 1.074178103992243 A -0.07195251768392194
bus 17 M 1.0756393399616564 A 0.03734758187855611
bus 18 M 1.0503985838070486 A -0.2214815685277205
bus 19 M 1.090997486076958 A -0.07368491868613304
bus 20 M 1.0730071568106958 A -0.0767135762287361
bus 21 M 1.0839785900903152 A -0.05489112931696925
bus 22 M 1.0791765274354665 A -0.1493615697480554
bus 23 M 1.0893632150653598 A -0.16796419890610328
bus 24 M 1.091157770943811 A -0.2855093650326887
bus 25 M 1.0642852149486715 A -0.17721266008964232
bus 26 M 1.0572437429294383 A -0.1697096026289107
bus 27 M 1.0852461530011415 A -0.057470516536035215
bus 28 M 1.0993185609320912 A -0.35701955217710085
bus 29 M 1.0462731788574104 A -0.22870116156033785
bus 30 M 1.048874036433731 A -0.20641332289268383
bus 31 M 1.0875194960501655 A -0.27345115771536554
bus 32 M 1.0441976489713294 A -0.10847873370794665
bus 33 M 1.0893986919106748 A -0.13828777922613875
bus 34 M 1.0408281697660975 A -0.02113710332622028
bus 35 M 1.0671882787658697 A -0.22660174346828516
bus 36 M 1.0807253693831071 A -0.09643433148783224
bus 37 M 1.0582461127591096 A -0.18535201193867135
bus 38 M 1.096607454581707 A -0.1350998137329795
bus 39 M 1.0832849220249168 A -0.33262454223074406
bus 40 M 1.0467454082287158 A -0.24696814061096156
bus 41 M 1.0330236453380488 A -0.24832100703446341
bus 42 M 1.0346529134863638 A -0.4702677464487904
bus 43 M 1.0991169970792247 A -0.05340328022674059
bus 44 M 1.0846552810438777 A -0.2349182853937907
bus 45 M 1.0687033638482852 A -0.28874013377276525
bus 46 M 1.0217537204649965 A 0.03130517000575536
bus 47 M 1.0951797808589594 A -0.31149394004683817
bus 48 M 1.0944721356286282 A -0.09205812095230771
bus 49 M 1.0673065845462417 A -0.17621340576569755
bus 50 M 1.0843657385167869 A -0.25209248137147394
bus 51 M 1.0785994833648993 A 0.023903865244515692
bus 52 M 1.0909003285167225 A -0.09823232814010112
bus 53 M 1.0806443544133062 A -0.16664098603809666
bus 54 M 1.063582207863041 A -0.0009803679726857549
bus 55 M 1.0583119083627186 A -0.18597251229527506
bus 56 M 1.0244680317794668 A -0.04519082860066256
bus 57 M 1.0662413162256885 A -0.019025541683629885
bus 58 M 1.068085160825499 A -0.2976069545007774
bus 59 M 1.0570678714753206 A -0.29502261177353617
bus 60 M 1.0810495578609545 A -0.11281054389911173
bus 61 M 1.0819121104688718 A -0.03999442179383722
bus 62 M 1.0770662285576262 A -0.013517888877753988
bus 63 M 1.0769631708828815 A -0.054807456587716984
bus 64 M 1.0844554243609283 A -0.2987480252012782
bus 65 M 1.0956323130444774 A -0.15351663960965592
bus 66 M 1.0999630067720065 A -0.06788492780440875
bus 67 M 1.067882330420691 A -0.23090235614452936
bus 68 M 1.0577726103121459 A -0.2914907475500876
bus 69 M 1.0901641384794019 A -0.048102867417104414
bus 70 M 1.0941203319054442 A -0.5039658057523958
bus 71 M 1.0670293190831859 A -0.17742068024528382
bus 72 M 1.0912500033380057 A -0.07881926703277543
bus 73 M 1.06033778935218 A -0.01653838361408542
bus 74 M 1.0915671156040292 A -0.11687535599791707
bus 75 M 1.0246570589784085 A -0.14092630853761623
bus 76 M 1.0961614013912249 A -0.26896493111893455
bus 77 M 1.0692221146088192 A -0.14278562674138406
bus 78 M 1.0955153052153281 A -0.07128293696677561
bus 79 M 1.099997783931541 A -0.08902052006999386
bus 80 M 1.0946683696563577 A -0.2917835656999524
bus 81 M 1.0962295518777272 A -0.3423480674632093
bus 82 M 1.096155404569867 A -0.02326785521662437
bus 83 M 1.0567478409417992 A -0.13368003258522565
bus 84 M 1.0350529353816738 A -0.028258693208247962
bus 85 M 1.0602110527785218 A -0.05600966583834601
bus 86 M 1.087007743569873 A -0.04353777586692436
bus 87 M 1.0865332862703057 A -0.054410438453615644
bus 88 M 1.071956021610345 A -0.0854771589961384
bus 89 M 1.0832691598390223 A -0.1522673060695832
bus 90 M 1.085627570649465 A -0.15419504525591374
bus 91 M 1.0268002590846566 A -0.30637643487709854
bus 92 M 1.0627377411083783 A -0.10016118622354844
bus 93 M 1.0721280256328571 A -0.08550348221923808
bus 94 M 1.0984314953453662 A -0.35803173120271353
bus 95 M 1.0923680705036978 A -0.1621181885727177
bus 96 M 1.0892337215760826 A -0.2711309922932551
bus 97 M 1.0547179742539972 A -0.09341818357798637
bus 98 M 1.0897080865787674 A -0.22366335529695192
bus 99 M 1.0400914287138023 A -0.1585934738389513
bus 100 M 1.0750909512775102 A -0.13111481816981257
bus 101 M 1.090139359496819 A -0.09381003134336469
bus 102 M 1.099489012460286 A -0.05316052915919806
bus 103 M 1.0918073560658328 A -0.10123586051129882
bus 104 M 1.099986494795168 A -0.014862298651145075
bus 105 M 1.0578294131898578 A -0.18591912548266243
bus 106 M 1.0999820069008515 A -0.11139751492140738
bus 107 M 1.0999986478932358 A -0.07268605595273192
bus 108 M 1.0987717505243253 A -0.11410807295951167
bus 109 M 1.0361789340149816 A -0.02634509208537298
bus 110 M 1.0879421617209981 A -0.04899322037454794
bus 111 M 1.0218573230781371 A 0.010399453415281762
bus 112 M 1.0343608410294904 A -0.03866432412374937
bus 113 M 1.0995433656093219 A -0.02591342227202118
bus 114 M 1.0368350862937745 A -0.01669548966771403
bus 115 M 1.088907084820598 A -0.27364376147858255
bus 116 M 1.0880490268432497 A -0.05994978612477203
bus 117 M 1.0650728180876485 A -0.11507184177347128
bus 118 M 1.0855893506476184 A -0.07142139594102745
bus 119 M 1.0796827238768016 A -0.32489368618536413
bus 120 M 1.079403108669553 A -0.10993450331636613
bus 121 M 1.098395453258182 A -0.35844974407051805
bus 122 M 1.0700802414829942 A -0.09049028831722401
bus 123 M 1.092347689448388 A -0.064369610079173
bus 124 M 1.092523511167473 A -0.02634074086794368
bus 125 M 1.0892827332019877 A -0.22642038079840152
bus 126 M 1.0563267593768886 A -0.2965014835239076
bus 127 M 1.0765881854772807 A -0.15559196430297742
bus 128 M 1.0966843358344875 A -0.27925676098727137
bus 129 M 1.05714876785286 A -0.08207437799050103
bus 130 M 1.0942028875968208 A -0.20793637767142192
bus 131 M 1.0770648929955062 A -0.013517808877654781
bus 132 M 1.0583894242797525 A -0.07510642918617635
bus 133 M 1.0654777111333753 A 0.017310254772907003
bus 134 M 1.0950373035131826 A -0.28995771968721196
bus 135 M 1.0836903770658257 A -0.30160385109955595
bus 136 M 1.088117490238911 A -0.21463842591632123
bus 137 M 1.0955009804996356 A -0.08788580744250515
bus 138 M 1.0984537538361896 A -0.08881553651274669
bus 139 M 1.0712984572002977 A -0.20760412499306855
bus 140 M 1.0115987491803642 A -0.20738158298784135
bus 141 M 1.0890606515929055 A -0.2723689181972175
bus 142 M 1.083901809119901 A -0.3307246689801186
bus 143 M 1.085577747155168 A -0.11224219349898573
bus 144 M 1.0910766355422836 A -0.07276709329488308
bus 145 M 1.0705072412514136 A -0.017529469964766987
bus 146 M 1.0959873744140816 A -0.0879729924393217
bus 147 M 1.0582477001305877 A -0.1853523819392264
bus 148 M 1.098617540485672 A -0.08356031099124887
bus 149 M 1.0808453423086437 A -0.053919180041965706
bus 150 M 1.0999780403626156 A -0.08587445876004836
bus 151 M 1.0273020676137867 A -0.29542886727547113
bus 152 M 1.073199791837214 A -0.014121624010013174
bus 153 M 1.0877736736521761 A -0.04918315703015957
bus 154 M 1.089150774252777 A -0.05792510682721928
bus 155 M 1.0820005892507862 A -0.12635922963308446
bus 156 M 1.0785552205158218 A 0.023806065795009962
bus 157 M 1.0992554451246195 A -0.3571215903255528
bus 158 M 1.060481271878758 A -0.01657172912572077
bus 159 M 1.020658422664236 A -0.3096070575371254
bus 160 M 1.0778967667547967 A -0.19466172255953976
bus 161 M 1.0962237699438684 A -0.2785881556050036
